0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,1,1,0.9999501412,0.9849245276,0.8756175387,0.6716043126,0.4624210676,0.2997676917,0.1889778515,0.1181146517,0.07400691657,0.04677424218,0.02991959724,0.01940159024,0.01276255844,0.008517030221,0.005764623803,0.003955341798,0.00274966903,0.001935498162,0.001378631012,0.000993062834,0.0007229663464,0.0005316467333,0.0003946901183,0.0002956620193,0.0002233741646,0.0001701272152,0.0001305678412,0.0001009370128,0.0000785702271,0.00006156175738,0.00004853682489,0.00003849550975,0.00003070482039,0.00002462339968,0.0000198485512,0.00001607866439,0.00001308635329,0.00001069910986,0.000008785268913,0.000007243755866,0.000005996547926,0.000004983095016,0.000004156165662,0.000003478735553,0.000002921643818,0.000002461817894,0.000002080921944
1,1,1,0.9999999913,0.9993383639,0.9628490659,0.7849704218,0.5132052908,0.2839846967,0.1420902695,0.06741912983,0.03126878011,0.01444165732,0.006716942584,0.003167109226,0.001519665969,0.0007435556522,0.0003713309716,0.000189316485,0.00009851486653,0.00005229865064,0.00002830572449,0.00001560753678,0.000008760598744,0.000005001849186,0.000002902594456,0.000001710691019,0.000001023219652,0.0000006206902088,0.0000003815936883,0.0000002376153245,0.0000001497739948,0.00000009550880736,0.00000006158370845,0.00000004013168423,0.00000002641827362,0.00000001756002998,0.00000001178065119,0.000000007973821208,0.000000005443228487,0.00000000374617781,0.000000002598480022,0.000000001815996254,0.000000001278344563,0.0000000009061458683,0.0000000006466239466,0.000000000464409691,0.0000000003356174872,0.0000000002439972868,0.0000000001784147519
1,1,1,1,0.9999672154,0.9877386897,0.8490352033,0.5433265705,0.2646565388,0.1075731754,0.03940697876,0.01369717944,0.004666010988,0.00158934917,0.0005479980701,0.0001926774734,0.00006938065179,0.00002564530472,0.00000974083754,0.000003802836829,0.000001525530203,0.0000006284531541,0.0000002656532175,0.0000001151195404,0.0000000510918567,0.00000002320017745,0.0000000107680829,0.00000000510355203,0.000000002467668963,0.000000001216159974,0.0000000006103947382,0.000000000311739683,0.0000000001618817133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0.9999954755,0.9923641608,0.8461977112,0.4811966953,0.1839872518,0.05410577066,0.01370782378,0.003223512625,0.0007368836015,0.000168440174,0.00003916574522,0.000009358727669,0.000002311695323,0.0000005921198527,0.0000001574912143,0.00000004350995933,0.00000001248008153,0.000000003713314818,0.000000001144789005,0.0000000003652136867,0.0000000001204019054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0.9999997565,0.9973055014,0.8874282077,0.5083870328,0.1757978242,0.0427455623,0.008455909482,0.001501401352,0.0002544653904,0.00004275891874,0.000007290891197,0.000001279395555,0.0000002329760842,0.00000004423028917,0.00000000877462106,0.00000000182044568,0.0000000003948990557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0.9999999866,0.9990325469,0.9164515133,0.5306735879,0.167142052,0.03376941068,0.00523232435,0.0007029074025,0.00008845196565,0.00001093706472,0.000001368614076,0.000000176472442,0.00000002370178093,0.000000003336453924,0.00000000049384776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0.9999999981,0.9993845944,0.9153620867,0.4857849865,0.1224877101,0.01807459384,0.001945895961,0.0001772960754,0.00001499242229,0.000001245094621,0.0000001051261212,0.000000009215335198,0.0000000008492150575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0.9999999999,0.9997739103,0.936154584,0.50663748,0.1175427522,0.01449519739,0.001226210222,0.00008469235462,0.000005323933364,0.0000003256329444,0.00000002018969734,0.00000000130107455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0.9999163828,0.9515547662,0.5250549573,0.1124669364,0.01161624657,0.000773141435,0.00004051233057,0.000001894189692,0.00000008535869466,0.000000003887432264,0.0000000001842040213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0.9999463175,0.9510139087,0.4881065408,0.08439720535,0.006385095766,0.0002955844897,0.0000105085055,0.0000003302072138,0.000000009994243829,0.0000000003070977296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
